section,virtbase,rawbase,virtsize
RDATA,0x00189E40,0x0017A000,0x46808
DATA,0x001D0660,0x001C1000,0x8DF8DC
MDLPL,0x00AAFF40,0x01C8D000,0x2D0328
MDLB1,0x00D80280,0x0239A000,0xD69D8
MDLB10,0x00E56C60,0x0296A000,0x139E28
MDLB2,0x00F90AA0,0x02471000,0xEFF64
MDLB3,0x01080A20,0x02561000,0xDE43C
MDLB4,0x0115EE60,0x02640000,0x6B484
MDLB5,0x011CA300,0x026A0000,0xF5370
MDLB6,0x012BF680,0x027A2000,0x96460
MDLB8,0x01355AE0,0x02839000,0xBE094
MDLB9,0x01413B80,0x028F8000,0x71EC0
MDLEN,0x01485A40,0x01F5E000,0x43BF18
MDLB102,0x018C1960,0x0037B000,0x5D67C
MAP13,0x0191EFE0,0x006E0000,0x1B82DC
MAP12,0x01AD72C0,0x0055E000,0x181374
MAP11,0x01C58640,0x003E1000,0x17CC9C
MDLR2,0x01DD52E0,0x00CAC000,0x1FF44
MAP23,0x01DF5240,0x00B48000,0x163D90
MAP22,0x01F58FE0,0x009F7000,0x150B2C
MAP21,0x020A9B20,0x00899000,0x15D21C
MAP33,0x02206D40,0x00E5E000,0x103FBC
MAP32,0x0230AD00,0x00D9F000,0xBEEB0
MAP31,0x023C9BC0,0x00CCC000,0xD2514
MDLR4,0x0249C0E0,0x01186000,0x6E14
MAP43,0x024A2F00,0x010AA000,0xDB130
MAP42,0x0257E040,0x01003000,0xA6FE8
MAP41,0x02625040,0x00F62000,0xA0614
MDLR5,0x026C5660,0x0143E000,0x1694
MAP53,0x026C6D00,0x0133F000,0xFEEEC
MAP52,0x027C5C00,0x01274000,0xCA970
MAP51,0x02890580,0x0118D000,0xE6D28
MDLR6,0x029772C0,0x017DC000,0x1EEEC
MAP63,0x029961C0,0x016A7000,0x134804
MAP62,0x02ACA9E0,0x0155A000,0x14CB8C
MAP61,0x02C17580,0x01440000,0x119584
MDLR8,0x02D30B20,0x01A51000,0x42A6C
MAP83,0x02D735A0,0x01977000,0xD9BEC
MAP82,0x02E4D1A0,0x018A7000,0xCF4C4
MAP81,0x02F1C680,0x017FB000,0xAB33C
MDLR9,0x02FC79C0,0x01C58000,0x34B54
MAP93,0x02FFC520,0x01BD1000,0x861A8
MAP92,0x030826E0,0x01B2C000,0xA4558
MAP91,0x03126C40,0x01A94000,0x9749C
